experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,scheme,testset,n_classes,conflicts_G
r6_hd3,even_odd,_parity,0,0.1875,3,dce7,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,bce7,fca6,True,11,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,7ce7,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fd27,bd07,True,35,wrong_pattern,3,False,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fe27,fca6,True,69,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,f827,fca6,True,59,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,f427,fca6,True,59,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,ec27,fca6,True,59,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,dc27,fca6,True,59,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,bc27,fca6,True,59,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,7c27,fca6,True,59,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,ffa7,fca6,True,35,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,f9a7,fca6,True,11,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,f5a7,fca6,True,49,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,eda7,fca6,True,21,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,dda7,fca6,True,35,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,bda7,fca6,True,11,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,7da7,fca6,True,35,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,faa7,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,f6a7,a6b6,True,21,wrong_pattern,2,False,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,eea7,fca6,True,31,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,dea7,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,bea7,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,7ea7,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,f0a7,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,e8a7,fca6,True,11,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,d8a7,fca6,True,45,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,b8a7,fca6,True,11,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,78a7,fca6,True,45,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,e4a7,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,d4a7,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,b4a7,fca6,True,45,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,74a7,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,cca7,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,aca7,fca6,True,21,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,6ca7,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,9ca7,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,5ca7,58a4,True,45,spurious,-1,False,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,3ca7,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fca8,fca6,True,35,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fcb0,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fc80,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fce0,fca6,True,35,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fc20,fca6,True,59,correct,0,True,parity,hd3,2,19
